GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00166994	3	1	1	1	2	1	1	1
WBGene00170400	3	1	1	1	2	1	1	1
WBGene00168459	5	1	1	1	2	1	1	1
WBGene00020973	58	11	31	21	23	9	7	10
WBGene00020977	30	11	10	13	12	2	4	1
WBGene00020978	91	16	87	94	117	16	16	16
WBGene00004419	243888	59944	20434	18989	19586	12414	8363	9060
WBGene00021283	40	9	21	24	23	3	1	4
WBGene00021284	25	5	10	5	6	4	2	6
WBGene00021285	8	1	1	4	3	1	1	1
WBGene00006228	8	2	3	1	2	1	1	1
WBGene00019951	25	6	13	9	5	1	2	3
WBGene00169107	3	1	1	1	2	2	1	1
WBGene00019952	28	7	16	10	14	4	1	2
WBGene00019956	94	27	25	26	34	6	7	9
WBGene00019953	7298	1778	2033	1920	1938	725	598	672
WBGene00197297	3	1	1	1	2	1	1	1
WBGene00196245	3	1	1	1	2	1	1	1
WBGene00019954	10	1	3	3	3	1	1	1
WBGene00201396	3	1	1	1	2	1	1	1
WBGene00019718	109	8	20	15	25	6	6	1
WBGene00196280	10	1	3	4	2	1	1	1
WBGene00019719	3585	1004	1570	1392	1695	527	477	511
WBGene00019720	142	42	35	25	40	21	17	18
WBGene00196454	3	1	1	1	2	1	1	1
WBGene00022675	453	135	188	157	213	56	36	53
WBGene00022677	465	225	149	136	155	59	50	39
WBGene00195011	8	2	1	1	5	1	1	2
WBGene00022678	2943	798	848	746	884	306	247	245
WBGene00022679	758	130	163	173	181	48	30	38
WBGene00201238	3	1	3	1	2	1	1	1
WBGene00022680	296	29	69	60	76	16	11	12
WBGene00199956	8	1	1	1	2	1	1	1
WBGene00235278	18	1	3	3	3	1	1	1
WBGene00022683	104	41	29	34	31	12	10	18
WBGene00044480	5	2	3	4	2	1	1	1
WBGene00197195	8	1	3	1	3	1	1	1
WBGene00220238	12109	2615	20006	17106	23030	6214	5053	5064
WBGene00198405	3	2	1	1	2	1	1	2
WBGene00044481	276	86	57	40	60	24	24	33
WBGene00195735	3	1	1	4	2	1	1	1
WBGene00017902	61	11	14	13	17	2	1	1
WBGene00196195	5	1	1	4	3	1	1	2
WBGene00195393	3	1	1	3	2	1	1	1
WBGene00196259	10	1	1	1	5	1	1	1
WBGene00195461	3	1	3	1	2	1	1	1
WBGene00199446	3	1	1	1	2	1	1	1
WBGene00202272	3	1	1	3	2	1	1	1
WBGene00197376	3	1	1	1	2	1	1	1
WBGene00200207	3	1	1	1	2	1	1	1
WBGene00000684	164	19	14	33	20	4	3	4
WBGene00017597	334	105	170	135	247	62	40	39
WBGene00000685	111	25	27	21	23	11	9	8
WBGene00017924	111	39	12	9	23	6	5	4
WBGene00017925	5428	648	1423	1374	1403	473	326	401
WBGene00197470	3	1	1	1	2	1	1	1
WBGene00197420	3	1	1	1	2	1	1	1
WBGene00199843	8	1	1	1	2	1	1	1
WBGene00020679	13502	3333	5771	4821	5504	1760	1308	1529
WBGene00220012	5	3	16	13	17	1	3	6
WBGene00019543	3630	892	970	908	884	426	257	288
WBGene00006968	1555	422	365	303	317	152	93	83
WBGene00019544	2252	627	530	468	541	176	124	134
WBGene00195021	3	1	1	1	2	1	1	1
WBGene00023323	296	45	69	51	65	16	17	11
WBGene00169528	3	1	1	1	2	1	1	1
WBGene00001983	2708	929	750	571	671	284	198	256
WBGene00017119	2027	567	424	314	357	130	97	112
WBGene00017120	30	12	9	9	9	4	3	3
WBGene00017121	4641	955	625	557	648	391	291	303
WBGene00004432	12729	2970	2134	1875	2025	1042	678	758
WBGene00021204	68	24	21	16	15	7	7	11
WBGene00021205	334	112	80	69	62	33	23	29
